ORGANIZATION_ETXT,NSM_CD,NOTE_ETXT,NOTES_FTXT,PSTREET,PCITY,PPROVINCE,PPOSTAL,PCOUNTRY,MSTREET,MCITY,MPROVINCE,MPOSTAL,MCOUNTRY,CLASS_TYPE_ETXT,CLASS_ETXT,CLASS_TYPE_FTXT,CLASS_FTXT
Brodex Industries Ltd.,C64,,,3751 Highway 97,Quesnel,British Columbia,V2J 5Z2,CANADA,3751 Highway 97,Quesnel,British Columbia,V2J 5Z2,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
Bruce Coach Inc.,J47,,,6250 Trans Canada Highway N.E.,Salmon Arm,British Columbia,V1E 4N3,CANADA,Box 280,Salmon Arm,British Columbia,V1E 4N3,CANADA,MPV,"MPV / Motor Home / Class ""A""",V??hicule de tourisme ?ÿ usages multiple,"VTUM autocaravane de class ""A"" (>=10,000 lbs)"
Built Right Utility Bodies Ltd.,L47,,,273 County Rd #29,Frankville,Ontario,K0E 1H0,CANADA,273 Hwy. #29,Frankville,Ontario,K0E 1H0,CANADA,Trailer,Trailer - Motorcycle,Remorque,Remorque ?ÿ motocyclette
Built Right Utility Bodies Ltd.,L47,,,273 County Rd #29,Frankville,Ontario,K0E 1H0,CANADA,273 Hwy. #29,Frankville,Ontario,K0E 1H0,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
Built-Tuff Trailers,M28,,,6943 Highway 38,Verona,Ontario,K0H 2W0,CANADA,6943 Highway 38,Verona,Ontario,K0H 2W0,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
Burnaby Hitch Ltd.,Z12,,,2315 Douglas Road,Burnaby,British Columbia,V5C 5A9,CANADA,,,,,,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
Burncrest Industries LTD,U41,,,Grahams Lane,Burlington,Ontario,L7S 1W3,CANADA,80 Commerce Pl,St. Catharines,Ontario,L2S 0B3,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
Burncrest Industries LTD,U41,,,Scott Street West,St. Catharines,Ontario,L2R 1C9,CANADA,80 Commerce Pl,St. Catharines,Ontario,L2S 0B3,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
C-Extrem Inc.,X86,,,110 route du lac St-Francois,Adstock,Ontario,G0N 1S0,CANADA,110 route du lac St-Francois,Adstock,Ontario,G0N 1S0,CANADA,Trailer,Trailer - Recreational RV [Standard],Remorque,Remorque de camping [standard]
C-Max Transportation Equipment,N13,,,3044 Sawmill Rd,St. Jacobs,Ontario,N0B 2N0,CANADA,3044 Sawmill Rd,St. Jacobs,Ontario,N0B 2N0,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
C-Max Transportation Equipment,N13,,,3044 Sawmill Rd,St. Jacobs,Ontario,N0B 2N0,CANADA,3044 Sawmill Rd,St. Jacobs,Ontario,N0B 2N0,CANADA,Trailer,Trailer - Semi Trailer [Air],Remorque,"Remorque, semi, [frein a air]"
C-Max Transportation Equipment,N13,,,3044 Sawmill Rd,St. Jacobs,Ontario,N0B 2N0,CANADA,3044 Sawmill Rd,St. Jacobs,Ontario,N0B 2N0,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
C.D. Jabbco Sales Ltd,L80,,,Carman Road,Iroquois,Ontario,K0E 1K0,CANADA,Carman Road,Iroquois,Ontario,K0E 1K0,CANADA,Trailer,Trailer - Auto Transporter [Air],Remorque,"Remorque a voiture, [Frein a air]"
C.D. Jabbco Sales Ltd,L80,,,Carman Road,Iroquois,Ontario,K0E 1K0,CANADA,Carman Road,Iroquois,Ontario,K0E 1K0,CANADA,Trailer,Trailer - Flat Deck (Standard),Remorque,Remorque plate-forme (standard)
C.D. Jabbco Sales Ltd,L80,,,Carman Road,Iroquois,Ontario,K0E 1K0,CANADA,Carman Road,Iroquois,Ontario,K0E 1K0,CANADA,Trailer,Trailer - Semi Trailer [Standard],Remorque,"Remorque, semi [standard]"
C.E.M. Heavy Equipment Ltd.,Y70,,,,,,,,'A' Twp Rd 110,Taber,Alberta,T1G 1W7,CANADA,Trailer,Trailer - Flat Deck (Standard),Remorque,Remorque plate-forme (standard)
