Licence number,Licence Type,Status,Date licence issued,Date licence expires,Vehicle Type,Vehicle Registration Number,Vehicle Colour,Operator/Association
151,Hackney Carriage Vehicle,Licence Issued,18/01/15 0:00,17/01/16 0:00,Vauxhall Vectra,FE08WEP,SILVER,Streamline/Telecabs
152,Hackney Carriage Vehicle,Licence Issued,20/07/15 0:00,19/07/16 0:00,Mazda 6TS2,BL10MLF,WHITE,Independent Hackney Carriage
153,Hackney Carriage Vehicle,Licence Issued,29/04/15 0:00,28/04/16 0:00,Vauxhall Insignia,DR54LYM,B/W,Independent Hackney Carriage
154,Hackney Carriage Vehicle,Licence Issued,2/07/15 0:00,1/07/16 0:00,Ford Mondeo,KP11XXF,B/W,City Cabs
155,Hackney Carriage Vehicle,Licence Issued,26/08/15 0:00,25/08/16 0:00,Volkswagen Passat,VU11TKF,B/W,City Cabs
156,Hackney Carriage Vehicle,Licence Issued,3/04/15 0:00,2/04/16 0:00,Toyota Avensis,YP09SFO,B&W,Streamline/Telecabs
157,Hackney Carriage Vehicle,Licence Issued,22/05/15 0:00,21/05/16 0:00,Vauxhall Vectra,MT08TWK,B& W,Streamline/Telecabs
158,Hackney Carriage Vehicle,Licence Issued,15/01/15 0:00,14/01/16 0:00,Skoda Superb,YP60JDJ,BLACK/WHITE,Streamline/Telecabs
159,Hackney Carriage Vehicle,Licence Issued,3/09/15 0:00,2/09/16 0:00,Volkswagen Passat,MK60GGA,BLACK/WHITE,Streamline/Telecabs
16,Hackney Carriage Vehicle,Licence Issued,27/07/15 0:00,26/07/16 0:00,Skoda Octavia,HY08SUA,BLACK/WHITE,Streamline/Telecabs
160,Hackney Carriage Vehicle,Licence Issued,16/01/15 0:00,15/01/16 0:00,Volkswagen Passat,SJ11NZK,B/W,Streamline/Telecabs
161,Hackney Carriage Vehicle,Licence Issued,1/12/15 0:00,30/11/16 0:00,Skoda Octavia,YE59SVO,B/W,Station Taxis
162,Hackney Carriage Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Superb,YD55ABV,B & W,City Cabs
163,Hackney Carriage Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Toyota Avensis,NL07HXB,B & W,Station Taxis
164,Hackney Carriage Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Skoda Octavia,YC08VOD,Black/White,Streamline/Telecabs
165,Hackney Carriage Vehicle,Licence Issued,29/07/15 0:00,28/07/16 0:00,Vauxhall Vectra,NC58BFU,Black/White,Independent Hackney Carriage
166,Hackney Carriage Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Volkswagen Passat,AK07NVC,B & W,Independent Hackney Carriage
167,Hackney Carriage Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Vauxhall Vectra,NU57XKE,B/W,Station Taxis
168,Hackney Carriage Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Skoda Octavia,SD56YBK,B & W,City Cabs
169,Hackney Carriage Vehicle,Licence Issued,29/08/15 0:00,18/08/16 0:00,Toyota Prius,YE10UAB,B/W,Eurocabs
17,Hackney Carriage Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,NJ56PNF,B/W,City Cabs
170,Hackney Carriage Vehicle,Licence Issued,24/07/15 0:00,23/07/16 0:00,Skoda Octavia,KU61VMO,White/b,City Cabs
171,Hackney Carriage Vehicle,Licence Issued,11/06/15 0:00,10/06/16 0:00,Mazda 6TS2,LS11HZW,B/W,Streamline/Telecabs
172,Hackney Carriage Vehicle,Licence Issued,16/09/15 0:00,15/09/16 0:00,Vauxhall Vectra,PJ58FLM,B/W,Streamline/Telecabs
173,Hackney Carriage Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Skoda Octavia,YE57UYB,B&W,Station Taxis
174,Hackney Carriage Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Toyota Avensis,GV07EMJ,B & W,Eurocabs
175,Hackney Carriage Vehicle,Licence Issued,4/09/15 0:00,3/09/16 0:00,Skoda Octavia,NG09BHD,Black/White,Streamline/Telecabs
176,Hackney Carriage Vehicle,Licence Issued,31/05/15 0:00,30/05/16 0:00,Skoda Octavia,YE07KRX,B/W,Eurocabs
177,Hackney Carriage Vehicle,Licence Issued,23/04/15 0:00,22/04/16 0:00,Toyota Avensis,YF56GUJ,B & W,City Cabs
178,Hackney Carriage Vehicle,Licence Issued,4/06/15 0:00,3/06/16 0:00,Volkswagen Passat,FD10YYT,B/W,Independent City Taxis
179,Hackney Carriage Vehicle,Licence Issued,16/10/15 0:00,15/10/16 0:00,Toyota Avensis,GV08BGX,B&W,Eurocabs
18,Hackney Carriage Vehicle,Licence Issued,26/06/15 0:00,25/06/16 0:00,Audi A6,ML59MTF,Black/White,City Cabs
180,Hackney Carriage Vehicle,Licence Issued,8/11/15 0:00,7/11/16 0:00,Toyota Avensis,OY09EWL,BLACK/WHITE,City Cabs
181,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Vauxhall Vectra,YE57SEO,B & W,Streamline/Telecabs
182,Hackney Carriage Vehicle,Licence Issued,23/06/15 0:00,22/06/16 0:00,Volkswagen Passat,MT11FPY,GREY,City Cabs
183,Hackney Carriage Vehicle,Licence Issued,26/06/15 0:00,25/06/16 0:00,Vauxhall Vectra,YR58YWC,B& W,Streamline/Telecabs
184,Hackney Carriage Vehicle,Licence Issued,23/01/15 0:00,22/01/16 0:00,Skoda Octavia,DE58BAV,SILVER,Independent Hackney Carriage
185,Hackney Carriage Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Ford Mondeo,BN60DOA,B/W,City Cabs
186,Hackney Carriage Vehicle,Licence Issued,21/02/15 0:00,20/02/16 0:00,Toyota Avensis,GU10OMD,B/W,Independent Hackney Carriage
187,Hackney Carriage Vehicle,Licence Issued,27/02/15 0:00,26/02/16 0:00,Skoda Octavia,YB13FPF,B/W,City Cabs
188,Hackney Carriage Vehicle,Licence Issued,15/03/15 0:00,14/03/16 0:00,Toyota Avensis,VO10UNW,B/W,Eurocabs
189,Hackney Carriage Vehicle,Licence Issued,9/05/15 0:00,8/05/16 0:00,Audi A4,YE60ZGO,BLACK/WHITE,City Cabs
19,Hackney Carriage Vehicle,Licence Issued,20/02/15 0:00,19/02/16 0:00,Volkswagen Jetta,DV59WWL,BLACK/WHITE,Station Taxis
190,Hackney Carriage Vehicle,Licence Issued,23/01/15 0:00,22/01/16 0:00,Volkswagen Passat,MW10YLF,B/W,Streamline/Telecabs
191,Hackney Carriage Vehicle,Licence Issued,11/11/15 0:00,10/11/16 0:00,Toyota Avensis,GA04OOR,BLACK/WHITE,City Cabs
192,Hackney Carriage Vehicle,Licence Issued,1/03/15 0:00,29/02/16 0:00,Vauxhall Vectra,TF07PEY,B&W,Independent Hackney Carriage
193,Hackney Carriage Vehicle,Licence Issued,1/12/14 0:00,30/11/15 0:00,Honda Accord,N3HYM,B/W,Streamline/Telecabs
194,Hackney Carriage Vehicle,Licence Issued,24/07/15 0:00,23/07/16 0:00,Skoda Octavia,M16RAR,BLACK/WHITE,Streamline/Telecabs
195,Hackney Carriage Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Vauxhall Insignia,YG10CXS,B/W,City Cabs
196,Hackney Carriage Vehicle,Licence Issued,24/09/15 0:00,23/09/16 0:00,Volkswagen Passat,RJ10USM,BLACK/WHITE,Streamline/Telecabs
197,Hackney Carriage Vehicle,Licence Issued,22/01/15 0:00,21/01/16 0:00,Skoda Octavia,FX10GVT,B/W,Streamline/Telecabs
