status,id,name,address,latitude,longitude,region1,type_id,type_name,notes,product1,product2,product3,service1,service2,service3,service4,service5,region2,region3
Published,139,7-Eleven Redbank Plains,"355 Redbanks Plains Road, Redbank Plains, Western",-27.6449,152.871,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,140,7-Eleven Redcliffe,"77 Anzac Avenue, Redcliffe, Northern",-27.2305,153.109,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1351,7-Eleven Richlands,"208 Progress Road, Richlands, Queensland, Australia",-27.597943,152.949775,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,142,7-Eleven Riverhills,"Sumners Road, corner Wacol Station Road, Riverhills, Western",-27.5622,152.922,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,921,7-Eleven Robina,"48-56 Commerce Drive, Robina, Queensland, Australia",-28.065476,153.403905,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,981,7-Eleven Robina,"253 Scottsdale Drive, Robina, Queensland, Australia",-28.090215,153.390741,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,896,7-Eleven Runaway Bay,"20 Bayview Street, Runaway Bay, Queensland, Australia",-27.923565,153.403764,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,1301,7-Eleven Sanctuary Cove,"87-91 Broadwater Avenue, Hope Island, Queensland, Australia",-27.878122,153.366608,,1,Standard retailer,,,,,,,,,,Gold Coast,
Published,1356,7-Eleven Sandgate,"86 Rainbow Street, Sandgate, Queensland, Australia",-27.32111,153.068175,Brisbane,1,Standard retailer,,,,,,,,,,Brisbane,
Published,146,7-Eleven Silkstone,"Blackstone Road, corner South Station Road, Silkstone, Western",-27.6109,152.79,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,573,7-Eleven Southbank TAFE,"Southbank TAFE, 5/97 Merivale Street, South Brisbane, Brisbane Central",-27.4797,153.019,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,966,7-Eleven Southport,"138 Slatyer Avenue, Ashmore, Queensland, Australia",-27.996317,153.39985,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,152,7-Eleven Spring Hill,"170 Leichhardt Street, Spring Hill, Brisbane North",-27.462,153.026,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Archived,154,7-Eleven Springwood,"Springwood Street, corner Pannikin Street, Springwood, Southern",-27.61,153.124,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Airlie Beach,
Published,1361,7-Eleven Springwood,"Cinderella Drive, Springwood, Queensland, Australia",-27.60946,153.124547,,1,Standard retailer,,,,,,,,,,Logan,
Published,1366,7-Eleven Strathpine,"Strathpine Shopping Centre, Strathpine, Queensland, Australia",-27.307691,152.990456,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,160,7-Eleven Sunnybank,"82 Pinelands Road, Sunnybank, Brisbane South",-27.5915,153.06,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,162,7-Eleven Sunnybank Hills,"Compton Road, corner Gowan Road, Sunnybank Hills, Brisbane South",-27.6112,153.063,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,161,7-Eleven Sunnybank Market Square,"Mains Road, corner McCulloch Street, Sunnybank, Brisbane South",-27.572561,153.065223,Brisbane,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
Published,163,7-Eleven Surfers Paradise,"3187 Gold Coast Highway, Surfers Paradise, Gold Coast",-27.999044,153.428716,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,996,7-Eleven Surfers Paradise,"3187 Surfers Paradise Boulevard, Surfers Paradise, Queensland, Australia",-27.999151,153.428591,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,1641,7-Eleven Taigum,"377 Handford Road, Taigum, Queensland, Australia",-27.342044,153.041343,Brisbane,1,Standard retailer,,,,,,,,,,Brisbane,
Published,1371,7-Eleven The Gap,"1121 Waterworks Road, The Gap, Queensland, Australia",-27.44285,152.943656,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,165,7-Eleven The Paradise Centre Surfers Paradise,"The Paradise Centre, Cavill Avenue, Surfers Paradise, Gold Coast",-28.00215,153.429242,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,167,7-Eleven Toowong,"50 Sherwood Road, Toowong, Brisbane West",-27.4857,152.991,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1376,7-Eleven Toowoomba,"328 - 330 James Street, South Toowoomba, Queensland, Australia",-27.566231,151.930743,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,1381,7-Eleven Toowoomba East,"221 Ruthven Street, North Toowoomba, Queensland, Australia",-27.550683,151.954786,,1,Standard retailer,,,,,,,,,,Toowoomba,
Published,30,7-Eleven Transit Centre,"458 George Street, Brisbane , Brisbane Central",-27.467361,153.019897,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,881,7-Eleven Tweed Heads South,"112 Minjungbal Drive, Tweed Heads South, New South Wales, Australia",-28.207807,153.545211,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,1281,7-Eleven Valley Metro,"230 Brunswick Street, Fortitude Valley, Queensland, Australia",-27.45679,153.033095,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,1386,7-Eleven Victoria Point,"439 Cleveland-Redland Bay Road, Thornlands, Queensland, Australia",-27.584466,153.280957,,1,Standard retailer,,,,,,,,,,Redlands,
Published,1396,7-Eleven Vulture Street,"82 Vulture Street, West End, Queensland, Australia",-27.48086,153.01192,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,171,7-Eleven Warana,"Nicklin Way, corner Aquatic Drive, Warana, Sunshine Coast",-26.7197,153.13,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1391,7-Eleven Warner,"Old North Road, Warner, Queensland, Australia",-27.310447,152.962742,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,172,7-Eleven West End,"94 Boundary Street, West End (Brisbane City), Brisbane South",-27.4786,153.013,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,174,7-Eleven Windaroo,"159-163 Beenleigh-Beaudesert Road, Windaroo, Southern",-27.7444,153.187,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,175,7-Eleven Wishart,"Mt Gravatt-Capalaba Road, corner Newnham Road, Wishart, Brisbane South",-27.5559,153.09,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,176,7-Eleven Woodridge,"Compton Road, corner North Road, Woodridge, Southern",-27.6187,153.105,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1401,7-Eleven Woodridge,"Kingston Road, Slacks Creek, Queensland, Australia",-27.620445,153.115424,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,179,7-Eleven Wynnum,"Edith Road, corner Tingal Road, Wynnum, Eastern",-27.4462,153.172,Eastern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,180,7-Eleven Yamanto,"130 Ash Street, corner Astral Court, Yamanto, Western",-27.6547,152.754,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,181,7-Eleven Yeronga,"563 Fairfield Road, Yeronga, Brisbane South",-27.5195,153.015,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
